----------------------------------------------------------------
[RUNNING] Scenario: semi
          Run Name: semi_20251208_165803
          Start   : 20251208_165803
----------------------------------------------------------------
2025-12-08 16:58:05,812 - INFO - Args: {'scenario': 'semi', 'seed': 0, 'batch_size_images': 16, 'event_batch_size': 65536, 'events_per_image': 4096, 'run_name': 'semi_20251208_165803', 'log_interval': 125, 'num_epochs': 30, 'T_unsup1': 100, 'T_unsup2': 100, 'T_semi': 80, 'T_sup': 100, 'spike_array_len': 20, 'sigma_unsup1': 0.1, 'sigma_unsup2': 0.1, 'sigma_semi': 0.1, 'sigma_sup': 0.1, 'N_E': 100, 'N_hidden': 300, 'dt': 1.0, 'layer_index_scale': 1.0, 'lr_actor': 0.001, 'lr_critic': 0.001, 'ppo_eps': 0.2, 'ppo_epochs': 2, 'ppo_batch_size': 4096, 'exc_clip_min': 0.0, 'exc_clip_max': 1.0, 'w_clip_min': -1.0, 'w_clip_max': 1.0, 'inh_clip_min': 0.0, 'inh_clip_max': 1.0, 'local_lr': 0.01, 'rho_target': 0.1, 'alpha_sparse': 1.0, 'alpha_div': 0.1, 'alpha_stab': 0.1, 'beta_margin': 0.5, 'alpha_align': 0.1, 'max_rate': 0.25, 'sup_input_encoding': 'poisson', 'log_gradient_stats': False, 'result_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803', 'log_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803'}
2025-12-08 16:58:05,813 - INFO - Starting scenario: semi
2025-12-08 16:58:05,813 - INFO - Results will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803
2025-12-08 16:58:05,813 - INFO - Logs will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803
2025-12-08 17:33:05,212 - INFO - Epoch 3 | Batch 2500/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:33:33,012 - INFO - Epoch 3 | Batch 2625/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:34:01,054 - INFO - Epoch 3 | Batch 2750/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:34:29,089 - INFO - Epoch 3 | Batch 2875/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:34:57,079 - INFO - Epoch 3 | Batch 3000/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:35:25,285 - INFO - Epoch 3 | Batch 3125/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:35:53,326 - INFO - Epoch 3 | Batch 3250/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:36:21,594 - INFO - Epoch 3 | Batch 3375/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 17:36:58,028 - INFO - Epoch 4 | Batch 125/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:37:25,932 - INFO - Epoch 4 | Batch 250/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 17:37:53,701 - INFO - Epoch 4 | Batch 375/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 17:38:21,686 - INFO - Epoch 4 | Batch 500/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:38:49,958 - INFO - Epoch 4 | Batch 625/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:39:17,883 - INFO - Epoch 4 | Batch 750/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:39:46,253 - INFO - Epoch 4 | Batch 875/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 17:40:14,333 - INFO - Epoch 4 | Batch 1000/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:40:42,622 - INFO - Epoch 4 | Batch 1125/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:41:10,642 - INFO - Epoch 4 | Batch 1250/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:41:38,624 - INFO - Epoch 4 | Batch 1375/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 17:42:06,816 - INFO - Epoch 4 | Batch 1500/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 17:42:34,833 - INFO - Epoch 4 | Batch 1625/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:43:02,815 - INFO - Epoch 4 | Batch 1750/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:43:30,750 - INFO - Epoch 4 | Batch 1875/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:43:58,967 - INFO - Epoch 4 | Batch 2000/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:44:27,248 - INFO - Epoch 4 | Batch 2125/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:44:55,599 - INFO - Epoch 4 | Batch 2250/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:45:23,856 - INFO - Epoch 4 | Batch 2375/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 17:45:52,346 - INFO - Epoch 4 | Batch 2500/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 17:46:20,543 - INFO - Epoch 4 | Batch 2625/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 17:46:48,721 - INFO - Epoch 4 | Batch 2750/3375 | Acc 0.2500 | Reward -0.5000
2025-12-08 17:47:16,733 - INFO - Epoch 4 | Batch 2875/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:47:44,676 - INFO - Epoch 4 | Batch 3000/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:48:12,637 - INFO - Epoch 4 | Batch 3125/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:48:40,690 - INFO - Epoch 4 | Batch 3250/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:49:08,416 - INFO - Epoch 4 | Batch 3375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:49:44,857 - INFO - Epoch 5 | Batch 125/3375 | Acc 0.1875 | Reward -0.6250
2025-12-08 17:50:12,819 - INFO - Epoch 5 | Batch 250/3375 | Acc 0.1875 | Reward -0.6250
